----	Name	$$$$	Yield	EX	PAY	Sector	industry
AROW	Arrow Financial Corporation	34.45	3.02	2019-06-03	2019-06-14	Finance	Major Banks
SCHN	Schnitzer Steel Industries, Inc.	24.91	3.01	2019-05-10	2019-05-28	Consumer Durables	Industrial Specialties
FCBC	First Community Bankshares, Inc.	33.31	3.00	2019-05-02	2019-05-17	Finance	Major Banks
AUBN	Auburn National Bancorporation, Inc.	33.38	3.00	2019-06-07	2019-06-25	Finance	Major Banks
VALU	Value Line, Inc.	26.92	2.97	2019-04-26	2019-05-10	Finance	Investment Managers
TBNK	Territorial Bancorp Inc.	29.92	2.94	2019-05-08	2019-05-23	Finance	Savings Institutions
SYBT	Stock Yards Bancorp, Inc.	35.92	2.90	2019-06-14	2019-07-01	Finance	Major Banks
MOFG	MidWestOne Financial Group, Inc.	28.00	2.89	2019-04-26	2019-06-17	Finance	Major Banks
STBA	S&T Bancorp, Inc.	38.00	2.84	2019-05-01	2019-05-16	Finance	Major Banks
SAL	Salisbury Bancorp, Inc.	39.50	2.84	2019-05-16	2019-05-31	Finance	Savings Institutions
PPBI	Pacific Premier Bancorp Inc	31.12	2.83	2019-04-30	2019-05-15	Finance	Major Banks
MPB	Mid Penn Bancorp	25.58	2.81	2019-05-07	2019-05-27	Finance	Major Banks
HOFT	Hooker Furniture Corporation	21.32	2.81	2019-06-14	2019-06-30	Consumer Durables	Home Furnishings
POWL	Powell Industries, Inc.	37.15	2.80	2019-05-21	2019-06-19	Consumer Durables	Electrical Products
CVLY	Codorus Valley Bancorp, Inc	22.93	2.79	2019-04-22	2019-05-14	Finance	Savings Institutions
HAYN	Haynes International, Inc.	31.60	2.78	2019-05-30	2019-06-14	Capital Goods	Steel/Iron Ore
NBTB	NBT Bancorp Inc.	37.73	2.76	2019-05-30	2019-06-14	Finance	Major Banks
TRMK	Trustmark Corporation	33.44	2.75	2019-05-30	2019-06-15	Finance	Major Banks
ORRF	Orrstown Financial Services Inc	21.89	2.74	2019-04-29	2019-05-07	Finance	Major Banks
NWFL	Norwood Financial Corp.	35.19	2.73	2019-04-12	2019-05-01	Finance	Major Banks
FRME	First Merchants Corporation	38.23	2.72	2019-05-17	2019-06-21	Finance	Major Banks
HWC	Hancock Whitney Corporation	39.87	2.71	2019-06-04	2019-06-14	Finance	Major Banks
SFNC	Simmons First National Corporation	23.73	2.70	2019-06-14	2019-07-05	Finance	Major Banks
FMBI	First Midwest Bancorp, Inc.	20.88	2.68	2019-06-27	2019-07-09	Finance	Major Banks
FAST	Fastenal Company	32.09	2.68	2019-04-23	2019-05-22	Consumer Services	RETAIL: Building Materials
ARTNA	Artesian Resources Corporation	36.71	2.68	2019-05-09	2019-05-23	Public Utilities	Water Supply
FDEF	First Defiance Financial Corp.	28.45	2.67	2019-05-16	2019-05-24	Finance	Savings Institutions
OCFC	OceanFirst Financial Corp.	25.49	2.67	2019-05-03	2019-05-17	Finance	Savings Institutions
BSRR	Sierra Bancorp	27.07	2.66	2019-05-01	2019-05-16	Finance	Major Banks
IBOC	International Bancshares Corporation	37.84	2.64	2019-03-29	2019-04-15	Finance	Major Banks
AMNB	American National Bankshares, Inc.	37.87	2.64	2019-06-06	2019-06-21	Finance	Major Banks
BMTC	Bryn Mawr Bank Corporation	38.06	2.63	2019-04-30	2019-06-01	Finance	Major Banks
ACNB	ACNB Corporation	38.10	2.62	2019-05-30	2019-06-14	Finance	Major Banks
PROV	Provident Financial Holdings, Inc.	21.36	2.62	2019-05-20	2019-06-11	Finance	Savings Institutions
HCSG	Healthcare Services Group, Inc.	30.22	2.61	2019-05-23	2019-06-28	Health Care	Hospital/Nursing Management
AUB	Atlantic Union Bankshares Corporation	35.40	2.60	2019-05-16	2019-05-31	Finance	Major Banks
EMCI	EMC Insurance Group Inc.	36.01	2.55	2019-06-03	2019-06-11	Finance	Property-Casualty Insurers
ANDE	The Andersons, Inc.	27.27	2.49	2019-06-28	2019-07-22	Consumer Services	Farming/Seeds/Milling
CCNE	CNB Financial Corporation	27.64	2.46	2019-05-30	2019-06-14	Finance	Major Banks
MFSF	MutualFirst Financial Inc.	32.58	2.46	2019-06-13	2019-06-28	Finance	Major Banks
CMCT	CIM Commercial Trust Corporation	20.48	2.44	2019-06-13	2019-06-27	Consumer Services	Real Estate Investment Trusts
RNST	Renasant Corporation	36.08	2.44	2019-06-13	2019-06-28	Finance	Major Banks
MRLN	Marlin Business Services Corp.	23.08	2.43	2019-05-10	2019-05-23	Finance	Major Banks
SABR	Sabre Corporation	23.13	2.42	2019-06-20	2019-06-28	Technology	Computer Software: Programming, Data Processing
FBIZ	First Business Financial Services, Inc.	24.83	2.42	2019-05-03	2019-05-16	Finance	Major Banks
HFWA	Heritage Financial Corporation	30.11	2.39	2019-05-07	2019-05-22	Finance	Banks
PKBK	Parke Bancorp, Inc.	23.51	2.38	2019-04-10	2019-04-25	Finance	Major Banks
STRT	Strattec Security Corporation	23.54	2.38	2019-06-13	2019-06-28	Capital Goods	Auto Parts:O.E.M.
UCBI	United Community Banks, Inc.	28.62	2.38	2019-06-13	2019-07-05	Finance	Major Banks
UBOH	United Bancshares, Inc.	22.50	2.31	2019-05-30	2019-06-17	Finance	Major Banks
RUTH	Ruth&#39;s Hospitality Group, Inc.	22.72	2.29	2019-05-22	2019-06-06	Consumer Services	Restaurants
MATW	Matthews International Corporation	35.00	2.29	2019-05-03	2019-05-20	Capital Goods	Metal Fabrications
WAFD	Washington Federal, Inc.	35.16	2.28	2019-05-09	2019-05-24	Finance	Major Banks
FBSS	Fauquier Bankshares, Inc.	21.12	2.27	2019-06-13	2019-07-01	Finance	Major Banks
GFED	Guaranty Federal Bancshares, Inc.	23.19	2.24	2019-07-05	2019-07-18	Finance	Major Banks
OVBC	Ohio Valley Banc Corp.	37.50	2.24	2019-04-25	2019-05-10	Finance	Major Banks
HBCP	Home Bancorp, Inc.	37.81	2.22	2019-05-03	2019-05-17	Finance	Banks
SMMF	Summit Financial Group, Inc.	27.06	2.22	2019-06-13	2019-06-28	Finance	Major Banks
GABC	German American Bancorp, Inc.	30.68	2.22	2019-05-09	2019-05-20	Finance	Major Banks
GNTY	Guaranty Bancshares, Inc.	31.01	2.19	2019-06-26	2019-07-10	Finance	Major Banks
OPOF	Old Point Financial Corporation	22.20	2.16	2019-06-03	2019-06-28	Finance	Major Banks
KLIC	Kulicke and Soffa Industries, Inc.	22.54	2.13	2019-06-27	2019-07-15	Technology	Semiconductors
FMAO	Farmers & Merchants Bancorp, Inc.	28.60	2.10	2019-06-14	2019-07-20	Finance	Savings Institutions
FMBH	First Mid Bancshares, Inc.	34.34	2.10	2019-05-31	2019-06-10	Finance	Major Banks
CVCY	Central Valley Community Bancorp	21.10	2.09	2019-05-02	2019-05-17	Finance	Major Banks
CRAI	CRA International,Inc.	38.63	2.07	2019-05-24	2019-06-14	Miscellaneous	Other Consumer Services
TSBK	Timberland Bancorp, Inc.	29.04	2.07	2019-05-14	2019-05-29	Finance	Banks
HSII	Heidrick & Struggles International, Inc.	29.30	2.05	2019-05-09	2019-05-24	Technology	Diversified Commercial Services
EBTC	Enterprise Bancorp Inc	31.29	2.05	2019-05-10	2019-06-03	Finance	Major Banks
RCKY	Rocky Brands, Inc.	27.68	2.02	2019-05-31	2019-06-17	Consumer Non-Durables	Shoe Manufacturing
